latitude,longitude,walkscore,bikescore,transitscore
44.87339,-92.9225,0,null,null
44.9686,-93.20027,78,88,null
44.95931,-93.14655,68,68,null
44.97427,-93.14303,37,71,null
44.97268,-93.13658,33,64,null
44.98834,-93.13522,24,45,null
44.98581,-93.12903,22,41,null
44.94199,-93.12849,89,69,null
44.94571,-93.12536,86,61,null
44.93961,-93.10851,78,79,null
44.98365,-93.07962,41,49,null
44.99217,-93.04821,22,null,null
44.95038,-92.9705,20,null,null
44.9312,-92.97023,32,null,null
44.90583,-92.9674,20,null,null
44.96825,-92.96225,44,null,null
44.91694,-92.94976,22,null,null
44.90735,-92.94809,6,null,null
44.96124,-92.94576,29,null,null
44.93618,-92.91323,24,null,null
44.93313,-93.1774,68,73,null
44.91863,-93.17614,59,58,null
44.9872,-93.16209,54,56,null
44.96134,-93.15734,66,75,null
