No.,latitude,longitude
1867,44.96779,-93.18131
1868,44.97953,-93.02064
1869,44.95768,-93.03748
1870,44.96125,-93.00504
1871,44.97042,-93.05306
1872,44.95063,-93.08758
1873,44.9776,-93.11072
1874,44.98752,-93.10224
1875,44.92355,-93.17784
1876,44.94627,-93.02631
1877,44.97116,-93.13351
1878,44.95937,-93.14929
1879,44.95845,-93.12881
1880,44.97746,-93.11146
1881,44.98453,-93.01227
1882,44.97144,-93.05381
1883,44.97502,-93.0095
1884,44.91261,-93.18601
1885,44.92775,-93.13441
1886,44.95413,-93.05891
1887,44.98736,-93.02864
1888,44.95835,-93.01282
1889,44.92612,-93.13564
1890,44.98735,-93.02685
1891,44.92438,-93.14131
1892,44.98392,-93.03393
1893,44.96468,-93.01186
1894,44.98374,-93.0261
1895,44.97283,-93.05757
1896,44.98024,-93.10578
1897,44.97349,-93.01491
1898,44.97904,-93.07496
1899,,
1900,44.98293,-93.06665
1901,44.96125,-93.00504
1902,44.96795,-93.01323
1903,44.9681,-93.08552
1904,44.95592,-93.06055
1905,44.94821,-93.1268
1906,44.93371,-93.15144
1907,44.95671,-93.15032
1908,44.99167,-93.02829
1909,44.97371,-93.09407
1910,44.96888,-93.01244
1911,44.91245,-93.18561
1912,44.95281,-93.14858
1913,44.98984,-93.08111
1914,44.97856,-93.07136
1915,44.95925,-93.00911
1916,44.9524,-93.03053
1917,44.97119,-93.13566
1918,44.98753,-93.06739
1919,44.954,-93.12988
1920,44.94056,-93.12532
1921,44.96875,-93.04264
1922,44.96875,-93.04264
1923,44.98663,-93.08143
1924,44.98309,-93.01988
1925,44.99121,-93.07485
1926,44.96645,-93.15635
1927,44.92744,-93.07526
1928,44.95628,-93.06903
1929,44.96889,-93.07865
1930,44.92137,-93.10074
1931,44.98578,-93.07509
1932,44.98375,-93.0145
1933,44.96036,-93.14278
1934,44.98736,-93.027
1935,44.9535,-93.03627
1936,44.96284,-93.01829
1937,44.9524,-93.03053
1938,44.9892,-93.07425
1939,44.96125,-93.00504
1940,44.97527,-93.02771
1941,44.96832,-93.14339
1942,44.99107,-93.12705
1943,44.94366,-93.17058
1944,44.9524,-93.03053
1945,44.97424,-93.1199
1946,44.98648,-93.07363
1947,44.96219,-93.17683
1948,44.97232,-93.02326
1949,44.95325,-93.13388
1950,44.98187,-93.06324
1951,44.94517,-93.12974
1952,44.97579,-93.18758
1953,44.93011,-93.07329
1954,44.98869,-93.07601
1955,44.95142,-93.02986
1956,44.96125,-93.00504
1957,44.97997,-93.16458
1958,44.924,-93.14117
1959,44.95853,-93.00486
1960,44.98842,-93.08229
1961,44.97251,-93.01183
1962,44.98766,-93.01805
1963,44.92336,-93.10196
1964,44.94496,-93.095
1965,44.97887,-93.02274
1966,44.95783,-93.01607
1967,44.98092,-93.01655
1968,44.97919,-93.0265
1969,44.96431,-93.02798
1970,44.97693,-93.02542
1971,44.9512,-93.13521
1972,44.96395,-93.00424
1973,44.91261,-93.18614
1974,44.96125,-93.00504
1975,44.96406,-93.16699
1976,44.96225,-93.13114
1977,44.92611,-93.13741
1978,44.9837,-93.07183
1979,44.92925,-93.08633
1980,44.96548,-93.03307
1981,44.98222,-93.01426
1982,44.95944,-93.00504
1983,44.92401,-93.14089
1984,44.9565,-93.00727
1985,44.98365,-93.07962
1986,44.93487,-93.0882
1987,44.91798,-93.14632
1988,44.98648,-93.07363
1989,44.98042,-93.02148
1990,44.98951,-93.07188
1991,44.98996,-93.0219
1992,44.97371,-93.09407
1993,44.95491,-93.14002
1994,44.95323,-93.14101
1995,44.97718,-93.12872
1996,44.98853,-93.02073
1997,44.92894,-93.13197
1998,44.9289,-93.07731
1999,44.97684,-93.05882
2000,44.98222,-93.06493
2001,44.97523,-93.05062
2002,44.95928,-93.14108
2003,44.97999,-93.01732
2004,44.95017,-93.05116
2005,44.98451,-93.02278
2006,44.97698,-93.11091
2007,44.98183,-93.02405
2008,44.98636,-93.0163
2009,44.98136,-93.01136
2010,44.9828,-93.07187
2011,44.96213,-93.03241
2012,44.92562,-93.06651
2013,44.95845,-93.12881
2014,44.92329,-93.10597
2015,44.99169,-93.07754
2016,44.95895,-93.16219
2017,44.96446,-93.01737
2018,44.92394,-93.12741
2019,44.95581,-93.03445
2020,44.97158,-93.13369
2021,44.95144,-93.09396
2022,44.98676,-93.01635
2023,44.96224,-93.16067
2024,44.95667,-93.16495
2025,44.95937,-93.14929
2026,44.97534,-93.02667
2027,44.96579,-93.01259
2028,44.98903,-93.04932
2029,44.97937,-93.0683
2030,44.95761,-93.15093
2031,44.96947,-93.14262
2032,44.96469,-93.02257
2033,44.95665,-93.06372
2034,44.9892,-93.07425
2035,44.96214,-93.04235
2036,,
2037,44.9623,-93.03153
2038,44.96682,-93.0165
2039,44.96819,-93.01627
2040,44.96875,-93.04264
2041,44.96463,-93.15043
2042,44.95937,-93.14929
2043,44.99113,-93.13434
2044,,
2045,44.97687,-93.01048
2046,,
2047,44.9674,-93.11288
2048,,
2049,,
2050,,
2051,,
2052,,
2053,,
2054,44.97398,-93.01227
2055,44.99217,-93.04821
2056,44.98392,-93.03241
2057,,
2058,44.96229,-93.04745
2059,44.98341,-93.11481
2060,,
2061,44.96125,-93.00504
2062,,
2063,,
2064,44.9798,-93.11216
2065,44.9249,-93.09779
2066,44.95016,-93.03453
2067,,
2068,44.98022,-93.06345
2069,44.96259,-93.00496
2070,44.98645,-93.06746
2071,,
2072,44.95549,-93.04722
2073,44.97838,-93.11368
2074,44.9892,-93.07425
2075,44.98193,-93.03557
2076,44.95549,-93.04722
2077,44.97336,-93.02794
